label,number_of_sections,entry_point,dll_characteristics,Check_for_Debugger,manipulate_user_auth,can_download_execute_components,C2_indicator,ConventionEngine_indicator,contain_crypto_address,suspicious_imphash,is_packed,ransomware_command_indicator,suspicious_technique_indicator,can_access_network_share,contain_tor_link,ransomware_string_indicator,use_security_base_api,manipulates_system_shell,cmd_powershell_usage_indicator,suspicious_entropy_and_indicator,use_win_base_api,files_directories_manipulation,retrieves_account_information,using_encryption_library,use_http_services,supports_windows_networking,can_create_process_and_threads,can_manipulate_windows_registry,can_send_receive_data,can_manipulate_windows_services,performs_gui_actions,yaraify_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,chi2_max,chi2_min,chi2_mean,chi2_global,imported_dll_count,imported_function_count,exported_function_count
ransomware,6,21464,32864,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,15,3,6.263509463819587,0.0,3.0521589010934385,0,27136,11178.666666666666,136,26905,11308.833333333334,2852344.151515142,0.0,774228.1949140985,3471828.81203007,12,125,0
ransomware,7,577624,33120,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,13,3,6.455672443789394,3.276079319742529,5.128001999423974,512,831488,153380.57142857142,348,831406,154329.7142857143,7487287.148036261,9292.0,2009853.2779718337,9191334.506391164,9,154,0
ransomware,8,152680,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,17,5,6.594428048448981,0.0,3.320827999764384,0,230400,50432.0,8,230020,50722.625,7690985.391111111,0.0,1236809.1825118167,2998267.6243015714,22,249,0
ransomware,7,127228,33120,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,17,3,6.369856630613617,2.4687032572822423,4.5214574666662655,512,252416,39350.857142857145,244,252060,40000.28571428572,2837959.787018256,9295.0,551696.0438037284,3501224.251851851,7,140,0
ransomware,4,12524,32768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,9,1,7.519549614840371,4.056981352172087,6.0962081337468135,14336,679936,193280.0,14324,42498720,10647781.0,2717724.851656616,275304.33333333314,1134440.3295267082,3680146.456349208,4,100,0
ransomware,6,392912,33088,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,20,2,6.676430258091644,0.0203931352360849,4.786164926323576,512,1208320,389290.6666666667,4,1208265,418780.5,19342533.28248292,21657.5,5950952.104314153,28460225.468448754,1,39,0
ransomware,7,127228,33120,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,17,3,6.369860017227885,2.4687032572822423,4.521457950468304,512,252416,39350.857142857145,244,252060,40000.28571428572,2837959.8336714,9295.0,551696.0504684632,3501224.0666666664,7,140,0
ransomware,4,50387,33088,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,15,1,6.717652991509657,2.4755371621255278,5.2768533660594175,5632,93696,36224.0,5392,93685,38890.25,1906295.520000001,28170.81818181826,901768.4700688496,1889002.971929825,8,122,0
ransomware,5,43968,34112,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,11,1,5.76936518164626,0.1144633812591388,4.034326619663197,512,74752,15974.4,8,74281,15669.4,1253162.780821919,18958.0,301314.16949771706,1468867.563291137,7,80,0
ransomware,4,28570,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,7,1,7.993200096056813,4.096345820761993,6.186744419320779,8192,163840,56320.0,5804,162708,54325.5,615185.0,1871.3343750000004,365167.8187127985,533911.6380424248,5,87,0
